"Vertiba_EUR","Uzvaretajs","Nosaukums","Pretendenti","CPV","x_nozares_mediana","Karogs","IUB_pazinojums","lot_id"
"20572992","Alūksnes rajona sabiedrība ar ierobežotu atbildību firma ""ALŪKSNES ENERGOCELTNIEKS""","","2","45000000-7","340","","","480822"
"20572992","Sabiedrība ar ierobežotu atbildību ""WOLTEC""","","2","45000000-7","340","","","481182"
"20572992","Sabiedrība ar ierobežotu atbildību ""TELMS""","","4","45000000-7","340","","","481628"
"20572992","SIA ""DELTA EM""","","1","45000000-7","340","Liela vertiba + 1 pretendents","","491556"
"20572992","Sabiedrība ar ierobežotu atbildību ""Enersense""","","4","45000000-7","340","","","492957"
"20572992","Sabiedrība ar ierobežotu atbildību ""KVĒLE""","","2","45000000-7","340","","","492950"
"20572992","SIA ""TALSU SPRIEGUMS""","","3","45000000-7","340","","","499447"
"20572992","Sabiedrība ar ierobežotu atbildību ""SZMA""","","2","45000000-7","340","","","500986"
"20572992","Sabiedrība ar ierobežotu atbildību ""ENERGOREMONTS RĪGA""","","1","45000000-7","340","Liela vertiba + 1 pretendents","","516048"
"20339053.66","Pilnsabiedrība ""Fima Group - Mapri Būve - ROBUSTUS""","","3","45000000-7","336","","","404348"
"20000000","Sabiedrība ar ierobežotu atbildību ""Clean R""","","2","90511000-2","893","","","337645"
"18252167.5","SIA ""NORDES BŪVE""","","2","45259900-6","301","","","373262"
"17880750","Akciju sabiedrība ""PATA Saldus""","","19","77210000-5","483","","","339593"
"17622640.29","SIA ""Adaptive""","","22","48800000-6","476","","","381802"
"17500000","SIA ""MONUM""","","3","45252300-1","289","","","406189"
"17485875","Sabiedrība ar ierobežotu atbildību ""INDĀRES""","","22","77210000-5","473","","","339540"
"17432929","SIA ""Eco Baltia vide""","","2","90511000-2","778","","","263469"
"16858406.15","SIA ""MONUM""","","4","45000000-7","278","","","362158"
"16749000","Sabiedrība ar ierobežotu atbildību ""MĀRTIŅŠ""","","13","77210000-5","453","","","338790"
"16528925.68","Akciju sabiedrība ""EMERGN""","","1","72267000-4","399","","","433375"
"16528925.62","Sabiedrība ar ierobežotu atbildību ""AOX Trade""","","6","09310000-5","394","","","344083"
"16503173.27","Sabiedrība ar ierobežotu atbildību ""TILTS""","","4","45221100-3","272","","","379389"
"16268432.2","Ceļu būves firma SIA ""BINDERS""","","1","90480000-5","726","","","394689"
"15298924.16","Sabiedrība ar ierobežotu atbildību ""Ceļu būvniecības sabiedrība ""IGATE""""","","4","45233120-6","253","","","382083"
"14971552.94","SIA ""NORDES BŪVE""","","2","45221100-3","247","","","352159"
"14897903.69","Akciju sabiedrība ""A.C.B.""","","5","45233120-6","246","","","364761"
"14883750","Sabiedrība ar ierobežotu atbildību ""AMMZ pakalpojumi""","","13","77210000-5","402","","","338798"
"14883750","Sabiedrība ar ierobežotu atbildību ""AMMZ pakalpojumi""","","13","77210000-5","402","","","338799"
"14816520","“MOTO_TRUCK” sp.z.o.o.","","4","34144210-3","353","","","262552"
"14006856.98","Pilnsabiedrība ""Vides pakalpojumi Liepājai""","","2","90511000-2","625","","","263470"
"13914536.05","Sabiedrība ar ierobežotu atbildību ""Vizii Urban""","","2","90610000-6","621","","","373505"
"13824933","Sabiedrība ar ierobežotu atbildību ""VTU VALMIERA""","","3","60112000-6","487","","","483419"
"13676985","ENERCON GmbH","","2","31121300-3","459","","","447823"
"13646126.61","Sabiedrība ar ierobežotu atbildību ""VTU VALMIERA""","","2","60112000-6","481","","","382252"
"13618750","""Inspired"" SIA","","13","79341400-0","531","","","106292"
"13614143","SIA RTS Būve","","7","45210000-2","225","","","454431"
"13572810.18","SIA Mapri Būve","","1","45000000-7","224","","","437207"
"13214882.03","PS ""P un P BŪVNIECĪBAS GRUPA""","","5","45210000-2","218","","","388603"
"12597304.04","Sabiedrība ar ierobežotu atbildību ""TORENSBERG""","","5","45000000-7","208","","","442720"
"12287682.2","SIA ""Vizii""","","1","90910000-9","548","","","254413"
"12169786","HYPERSTRONG INTERNATIONAL (GERMANY) GMBH","","7","31430000-9","409","","","510928"
"12096970.02","Sabiedrība ar ierobežotu atbildību ""Citrus Solutions""","","5","45000000-7","200","","","458085"
"12000000","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","1","72000000-5","290","","","372893"
"12000000","SIA ""Eco Baltia vide""","","2","90511000-2","536","","","416611"
"12000000","Sabiedrība ar ierobežotu atbildību ""LIKTENIS""","","1","45233200-1","198","","","500154"
"11994901.37","SIA ""BILDBERG""","","2","45000000-7","198","","","394750"
"11941695.72","SIA ""Circle K Latvia""","","4","09100000-0","284","","","445703"
"11856586.5","SIA Connecto Latvija","","3","45315300-1","196","","","483525"
"11731500","Sabiedrība ar ierobežotu atbildību ""SKAIDA PV""","","21","77210000-5","317","","","339976"
"11731500","Sabiedrība ar ierobežotu atbildību ""SKAIDA PV""","","21","77210000-5","317","","","339979"
"11677777.66","Sabiedrība ar ierobežotu atbildību ""ACBR""","","3","45000000-7","193","","","438114"
"11365000","SIA RERE BŪVE","","15","45000000-7","188","","","515259"
"11252868.66","Ceļu būves firma SIA ""BINDERS""","","3","45000000-7","186","","","384831"
"11178871.69","SIA SC GRUPA","","4","45233120-6","185","","","452791"
"11128607","Akciju sabiedrība ""CATA""","","1","60112000-6","392","","","495001"
"11087632.44","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","31","","","457914"
"11041322.31","Akciju sabiedrība ""ROGA-AGRO""","","3","15800000-6","1033","","","504407"
"10955555.55","Pillar Contractor, SIA","","3","45000000-7","181","","","414465"
"10924139.44","Baltijas Elektro Sabiedrība SIA","","6","31320000-5","367","","","370019"
"10877859.05","SIA ""VIA""","","4","45000000-7","180","","","439077"
"10868689.7","Latvijas Sarkanais Krusts","","7","85312400-3","255","","","377461"
"10766008.8","Sabiedrība ar ierobežotu atbildību ""RERE MEISTARI""","","5","45000000-7","178","","","352468"
"10636498.42","Sabiedrība ar ierobežotu atbildību ""Reck""","","3","31100000-7","357","","","513927"
"10591875","SIA ""Niedrāji MR""","","10","77210000-5","286","","","339944"
"10536985.95","SIA ""CHS""","","8","90910000-9","470","","","493248"
"10521482","Sabiedrība ar ierobežotu atbildību ""FRISTAR""","","3","55520000-1","97","","","246327"
"10498000","Baltic Workboats AS","","1","34513000-6","250","","","105928"
"10299665.12","Sabiedrība ar ierobežotu atbildību ""ACBR""","","5","45233120-6","170","","","417141"
"10260599.6","CBS Igate SIA","","6","45000000-7","169","","","479235"
"10222122","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","2","72200000-7","247","","","395554"
"10163663.07","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","28","","","456546"
"10093399.17","Sabiedrība ar ierobežotu atbildību ""Zemgales remonta centrs""","","2","50842000-9","505","","","353330"
"10000402.55","Ceļu būves firma SIA ""BINDERS""","","1","90480000-5","446","","","394690"
"10000000","Akciju sabiedrība ""Citadele banka""","","1","66110000-4","260","","","500850"
"9917356","Akciju sabiedrība ""EMERGN""","","4","72267000-4","240","","","420901"
"9917355.37","Akciju sabiedrība ""Latvenergo""","","3","09310000-5","236","","","414873"
"9912997.6","Sabiedrība ar ierobežotu atbildību ""ARČERS""","","13","45210000-2","164","","","413618"
"9802000","Sabiedrība ar ierobežotu atbildību ""ACBR""","","6","45000000-7","162","","","414256"
"9753750","SIA ""MEŽDARIS""","","21","77210000-5","264","","","339099"
"9718392","“MOTO_TRUCK” sp.z.o.o.","","4","34144210-3","231","","","262553"
"9569072.15","Sabiedrība ar ierobežotu atbildību ""ACBR""","","5","45233120-6","158","","","360691"
"9478125","Aizkraukles rajona Daudzeses pagasta zemnieku saimniecība ""VAIROGI""","","22","77210000-5","256","","","339535"
"9441460.53","Sabiedrība ar ierobežotu atbildību ""ELSANA""","","3","45000000-7","156","","","340240"
"9441133.58","Sabiedrība ar ierobežotu atbildību ""MRK Serviss""","","1","50531200-8","472","","","364095"
"9439521.56","Pilnsabiedrība ""ELSANA un WOLTEC""","","5","45230000-8","156","","","477699"
"9426989.03","SIA ""CTB""","","3","45233120-6","156","","","459195"
"9393300","Sabiedrība ar ierobežotu atbildību ""VECVAGARI M""","","14","77210000-5","254","","","337161"
"9333346.25","Sabiedrība ar ierobežotu atbildību ""ACBR""","","4","45000000-7","154","","","246872"
"9317770.68","Sabiedrība ar ierobežotu atbildību ""ACBR""","","4","45000000-7","154","","","359741"
"9300000","SIA ""Enefit""","","7","09310000-5","221","","","480363"
"9294711.78","Sabiedrība ar ierobežotu atbildību ""KVADRUM""","","15","45000000-7","153","","","447471"
"9239693.7","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","26","","","439457"
"9218181.82","Sabiedrība ar ierobežotu atbildību ""BELSS""","","8","35814000-3","501","","","461320"
"9133000","SIA Elenger","","2","09310000-5","217","","","414809"
"9118555.65","Sabiedrība ar ierobežotu atbildību ""ARČERS""","","4","45000000-7","151","","","490184"
"9000000.03","Air Baltic Corporation AS","","","60411000-2","317","","","468722"
"9000000.03","Air France / KLM / MP Cargo","","7","60411000-2","317","","","502765"
"8982900","SIA ""AL MEŽS""","","17","77210000-5","243","","","336696"
"8976660","Sabiedrība ar ierobežotu atbildību ""RSGA""","","2","90500000-2","401","","","378348"
"8769600","Akciju sabiedrība ""UPB""","","2","45259900-6","145","","","83259"
"8692740.2","Sabiedrība ar ierobežotu atbildību ""RĪGAS TILTI""","","2","90610000-6","388","","","353800"
"8677685.95","SIA ""Alexela""","","5","09123000-7","207","","","369931"
"8677685.95","Akciju sabiedrība ""Latvijas Gāze""","","5","09123000-7","207","","","437019"
"8603046.89","Sabiedrība ar ierobežotu atbildību ""Selva Būve""","","5","45000000-7","142","","","394893"
"8587327.5","""Sanitex"" SIA","","18","15000000-8","803","","","398525"
"8575740","Pilnsabiedrība ""VIZULO ESCO & Solutions""","","2","51000000-9","313","","","343292"
"8560228.86","SIA ""Ignitis Latvija""","","6","09310000-5","204","","","513954"
"8437197","Sabiedrība ar ierobežotu atbildību ""ĶILUPE""","","3","90511000-2","377","","","413494"
"8428645.29","PS “P un S BŪVNIECĪBA”","","5","45000000-7","139","","","255502"
"8400000","Sabiedrība ar ierobežotu atbildību ""Corporate Systems""","","1","72267000-4","203","","","462897"
"8315724.33","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","23","","","433370"
"8315698.97","Sabiedrība ar ierobežotu atbildību ""Ošukalns celtniecība""","","3","45000000-7","137","","","375064"
"8276000","Sabiedrība ar ierobežotu atbildību ""LDZ ritošā sastāva serviss""","","1","09134200-9","197","","","384996"
"8245819.28","Sabiedrība ar ierobežotu atbildību ""Selva Būve""","","2","45000000-7","136","","","412760"
"8202041","SIA RTS Būve","","17","45000000-7","135","","","424620"
"8202041","OÜ RTS Infraehitus","","17","45000000-7","135","","","446750"
"8171813.78","Sabiedrība ar ierobežotu atbildību ""Reck""","","4","45000000-7","135","","","374832"
"8140251.59","SIA Connecto Latvija","","4","45000000-7","134","","","383890"
"8100000","SIA ""Norma-S""","","5","45231300-8","134","","","479740"
"8014225.71","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","35","72200000-7","194","","","466789"
"8000000","Sabiedrība ar ierobežotu atbildību ""AJ Power""","","4","09310000-5","190","","","338203"
"8000000","SIA ""Miesnieks""","","2","55520000-1","74","","","394974"
"8000000","Valsts akciju sabiedrība ""Latvijas dzelzceļš""","","1","09310000-5","190","","","453848"
"7991520","SIA “Ideju institūts”","","1","79952000-2","312","","","83895"
"7983115.32","Ceļu būves firma SIA ""BINDERS""","","2","45000000-7","132","","","369878"
"7973000","SIA JaunRīga","","3","71000000-8","666","","","245096"
"7964068.8","SIA ""SALVIS""","","4","55520000-1","74","","","251132"
"7910660.28","Baltijas Elektro Sabiedrība SIA","","7","31320000-5","266","","","370018"
"7902000","SIA ""RV FOREST""","","13","77210000-5","214","","","338775"
"7834500","SIA ""MEŽDARIS""","","17","77210000-5","212","","","337031"
"7800000","Sabiedrība ar ierobežotu atbildību ""JLD""","","2","77300000-3","211","","","432948"
"7787297.77","Ceļu būves firma SIA ""BINDERS""","","5","45233120-6","129","","","362261"
"7769031.79","SIA ""BALTIJAS BŪVE""","","4","45233120-6","128","","","459943"
"7757888.88","SIA ""BALTIJAS BŪVE""","","4","45233120-6","128","","","410602"
"7730400","SIA ""LIEPĀJAS ENERĢIJA""","","1","09323000-9","184","","","435663"
"7714285.74","Air France / KLM / MP Cargo","","7","60411000-2","272","","","502247"
"7680797.4","SIA ""Ignitis Latvija""","","6","09310000-5","183","","","489338"
"7673796.7","SIA ""Ignitis Latvija""","","6","09310000-5","183","","","434775"
"7650000","Sabiedrība ar ierobežotu atbildību ""MRK Serviss""","","2","50531200-8","383","","","382761"
"7449154","PS “P un S BŪVNIECĪBA”","","4","45000000-7","123","","","255503"
"7411500","Sabiedrība ar ierobežotu atbildību ""Egles dēls""","","9","77210000-5","200","","","336975"
"7326000","SIA ""Arbor Medical Korporācija""","","3","33100000-1","1231","","","246962"
"7282309.15","Sabiedrība ar ierobežotu atbildību ""Vianova""","","3","45233120-6","120","","","368425"
"7200000","SIA Elenger","","2","09123000-7","171","","","422668"
"7200000","Sabiedrība ar ierobežotu atbildību ""AVEROJA""","","2","63000000-9","157","","","507068"
"7179600","Compensa Life Vienna Insurance Group SE Latvijas filiāle","","1","66512200-4","187","","","412831"
"7169494.67","SIA SPYKE","","1","45000000-7","118","","","378654"
"7134600","Compensa Life Vienna Insurance Group SE Latvijas filiāle","","1","66512200-4","186","","","392186"
"7124443.91","Akciju sabiedrība ""CAPITAL""","","8","30200000-1","446","","","364836"
"7100100","Compensa Life Vienna Insurance Group SE Latvijas filiāle","","1","66512200-4","185","","","382077"
"7032999.2","Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","","1","55524000-9","65","","","248619"
"7000000","SIA ""Eco Baltia vide""","","2","90511000-2","312","","","418035"
"6997727.73","SIA ""Ignitis Latvija""","","6","09310000-5","167","","","512720"
"6888047.77","Ceļu būves firma SIA ""BINDERS""","","5","45000000-7","114","","","511910"
"6845583.62","Sabiedrība ar ierobežotu atbildību ""Vianova""","","6","45233120-6","113","","","341489"
"6790581.82","Sabiedrība ar ierobežotu atbildību ""BELSS""","","2","35210000-9","369","","","251762"
"6786780","SIA ""Ignitis Latvija""","","7","09310000-5","162","","","416823"
"6692380","Sabiedrība ar ierobežotu atbildību ""ELSANA""","","4","45000000-7","110","","","443674"
"6671434.98","PS ""P un S BŪVNIECĪBA""","","5","45000000-7","110","","","510565"
"6636126.51","Sabiedrība ar ierobežotu atbildību ""Vianova""","","5","45233120-6","110","","","409029"
"6621461.59","Sabiedrība ar ierobežotu atbildību ""KVADRUM""","","3","45000000-7","109","","","371588"
"6610126.5","SIA ""CTB""","","4","45000000-7","109","","","409858"
"6584608.43","SIA ""Adaptive""","","12","30200000-1","412","","","410885"
"6552362.19","Sabiedrība ar ierobežotu atbildību ""NEWCOM Construction""","","","45000000-7","108","","","476639"
"6552362.19","Sabiedrība ar ierobežotu atbildību ""NEWCOM Construction""","","4","45000000-7","108","","","503875"
"6496142.53","Ceļu būves firma SIA ""BINDERS""","","3","45000000-7","107","","","429026"
"6450856","Sabiedrība ar ierobežotu atbildību ""Motofavorīts""","","1","34113300-5","154","","","83276"
"6428571.45","Air France / KLM / MP Cargo","","7","60411000-2","226","","","497835"
"6418286","Akciju sabiedrība ""FERRUS""","","2","34144700-5","153","","","395329"
